Plate,Sample,Gate,X Parameter,Y Parameter,Count,Volume,Concentration,X Mean,Y Mean,X SD,Y SD
OTB_BACT_6-11-25,Blank,All Events,BL1 - BL1-H,N/A,4771,50,95.420,19545,N/A,22580.37,N/A
OTB_BACT_6-11-25,Blank,R2,BL1 - BL1-H,N/A,3766,50,75.320,23407,N/A,20325.21,N/A
OTB_BACT_6-11-25,Blank,R1,BL1 - BL1-H,N/A,4771,50,95.420,19545,N/A,22580.37,N/A
OTB_BACT_6-11-25,Blank,R1,FSC - FSC-H,SSC - SSC-H,4771,50,95.420,1843,804,897.59,909.30
OTB_BACT_6-11-25,Blank,R3,BL1 - BL1-H,SSC - SSC-H,2600,50,52.000,30830,661,24950.29,557.37
OTB_BACT_6-11-25,Blank,R1,BL1 - BL1-H,SSC - SSC-H,4771,50,95.420,19545,804,22580.37,909.30
OTB_BACT_6-11-25,Blank,R3,FSC - FSC-H,SSC - SSC-H,2600,50,52.000,1896,661,898.97,557.37
OTB_BACT_6-11-25,St1_1,All Events,BL1 - BL1-H,N/A,262384,50,5247.680,29874,N/A,36418.38,N/A
OTB_BACT_6-11-25,St1_1,R2,BL1 - BL1-H,N/A,215020,50,4300.400,33963,N/A,28906.21,N/A
OTB_BACT_6-11-25,St1_1,R1,BL1 - BL1-H,N/A,262384,50,5247.680,29874,N/A,36418.38,N/A
OTB_BACT_6-11-25,St1_1,R1,FSC - FSC-H,SSC - SSC-H,262384,50,5247.680,2872,1704,2664.43,2468.34
OTB_BACT_6-11-25,St1_1,R3,BL1 - BL1-H,SSC - SSC-H,163374,50,3267.480,43057,983,36515.98,1141.18
OTB_BACT_6-11-25,St1_1,R1,BL1 - BL1-H,SSC - SSC-H,262384,50,5247.680,29874,1704,36418.38,2468.34
OTB_BACT_6-11-25,St1_1,R3,FSC - FSC-H,SSC - SSC-H,163374,50,3267.480,2525,983,1973.73,1141.18
OTB_BACT_6-11-25,St1_2,All Events,BL1 - BL1-H,N/A,249420,50,4988.400,29829,N/A,35527.45,N/A
OTB_BACT_6-11-25,St1_2,R2,BL1 - BL1-H,N/A,201615,50,4032.300,34422,N/A,28431.37,N/A
OTB_BACT_6-11-25,St1_2,R1,BL1 - BL1-H,N/A,249420,50,4988.400,29829,N/A,35527.45,N/A
OTB_BACT_6-11-25,St1_2,R1,FSC - FSC-H,SSC - SSC-H,249420,50,4988.400,2920,1727,2678.06,2516.70
OTB_BACT_6-11-25,St1_2,R3,BL1 - BL1-H,SSC - SSC-H,155087,50,3101.740,43146,943,35661.68,1098.67
OTB_BACT_6-11-25,St1_2,R1,BL1 - BL1-H,SSC - SSC-H,249420,50,4988.400,29829,1727,35527.45,2516.70
OTB_BACT_6-11-25,St1_2,R3,FSC - FSC-H,SSC - SSC-H,155087,50,3101.740,2546,943,1959.06,1098.67
OTB_BACT_6-11-25,St1_3,All Events,BL1 - BL1-H,N/A,234970,50,4699.400,29570,N/A,34482.62,N/A
OTB_BACT_6-11-25,St1_3,R2,BL1 - BL1-H,N/A,188864,50,3777.280,34609,N/A,28020.23,N/A
OTB_BACT_6-11-25,St1_3,R1,BL1 - BL1-H,N/A,234970,50,4699.400,29570,N/A,34482.62,N/A
OTB_BACT_6-11-25,St1_3,R1,FSC - FSC-H,SSC - SSC-H,234970,50,4699.400,2883,1782,2679.73,2579.06
OTB_BACT_6-11-25,St1_3,R3,BL1 - BL1-H,SSC - SSC-H,146058,50,2921.160,42715,902,33683.07,1062.29
OTB_BACT_6-11-25,St1_3,R1,BL1 - BL1-H,SSC - SSC-H,234970,50,4699.400,29570,1782,34482.62,2579.06
OTB_BACT_6-11-25,St1_3,R3,FSC - FSC-H,SSC - SSC-H,146058,50,2921.160,2435,902,1802.33,1062.29
OTB_BACT_6-11-25,St2_1,All Events,BL1 - BL1-H,N/A,152782,50,3055.640,29237,N/A,29888.47,N/A
OTB_BACT_6-11-25,St2_1,R2,BL1 - BL1-H,N/A,136459,50,2729.180,31386,N/A,23318.41,N/A
OTB_BACT_6-11-25,St2_1,R1,BL1 - BL1-H,N/A,152782,50,3055.640,29237,N/A,29888.47,N/A
OTB_BACT_6-11-25,St2_1,R1,FSC - FSC-H,SSC - SSC-H,152782,50,3055.640,2672,1443,2424.39,2126.33
OTB_BACT_6-11-25,St2_1,R3,BL1 - BL1-H,SSC - SSC-H,108291,50,2165.820,37238,899,28026.91,983.23
OTB_BACT_6-11-25,St2_1,R1,BL1 - BL1-H,SSC - SSC-H,152782,50,3055.640,29237,1443,29888.47,2126.33
OTB_BACT_6-11-25,St2_1,R3,FSC - FSC-H,SSC - SSC-H,108291,50,2165.820,2370,899,1703.32,983.23
OTB_BACT_6-11-25,St2_2,All Events,BL1 - BL1-H,N/A,148955,50,2979.100,29400,N/A,29805.37,N/A
OTB_BACT_6-11-25,St2_2,R2,BL1 - BL1-H,N/A,133481,50,2669.620,31424,N/A,23045.55,N/A
OTB_BACT_6-11-25,St2_2,R1,BL1 - BL1-H,N/A,148955,50,2979.100,29400,N/A,29805.37,N/A
OTB_BACT_6-11-25,St2_2,R1,FSC - FSC-H,SSC - SSC-H,148955,50,2979.100,2601,1443,2393.91,2107.75
OTB_BACT_6-11-25,St2_2,R3,BL1 - BL1-H,SSC - SSC-H,107494,50,2149.880,36943,909,28128.80,986.92
OTB_BACT_6-11-25,St2_2,R1,BL1 - BL1-H,SSC - SSC-H,148955,50,2979.100,29400,1443,29805.37,2107.75
OTB_BACT_6-11-25,St2_2,R3,FSC - FSC-H,SSC - SSC-H,107494,50,2149.880,2301,909,1684.71,986.92
OTB_BACT_6-11-25,St2_3,All Events,BL1 - BL1-H,N/A,150021,50,3000.420,29375,N/A,29582.04,N/A
OTB_BACT_6-11-25,St2_3,R2,BL1 - BL1-H,N/A,135250,50,2705.000,31310,N/A,23173.14,N/A
OTB_BACT_6-11-25,St2_3,R1,BL1 - BL1-H,N/A,150021,50,3000.420,29375,N/A,29582.04,N/A
OTB_BACT_6-11-25,St2_3,R1,FSC - FSC-H,SSC - SSC-H,150021,50,3000.420,2602,1449,2391.07,2122.23
OTB_BACT_6-11-25,St2_3,R3,BL1 - BL1-H,SSC - SSC-H,108305,50,2166.100,36819,908,28010.84,994.81
OTB_BACT_6-11-25,St2_3,R1,BL1 - BL1-H,SSC - SSC-H,150021,50,3000.420,29375,1449,29582.04,2122.23
OTB_BACT_6-11-25,St2_3,R3,FSC - FSC-H,SSC - SSC-H,108305,50,2166.100,2292,908,1680.49,994.81
OTB_BACT_6-11-25,St3_1,All Events,BL1 - BL1-H,N/A,148233,50,2964.660,28825,N/A,32908.13,N/A
OTB_BACT_6-11-25,St3_1,R2,BL1 - BL1-H,N/A,132374,50,2647.480,30486,N/A,24352.50,N/A
OTB_BACT_6-11-25,St3_1,R1,BL1 - BL1-H,N/A,148233,50,2964.660,28825,N/A,32908.13,N/A
OTB_BACT_6-11-25,St3_1,R1,FSC - FSC-H,SSC - SSC-H,148233,50,2964.660,2596,1382,2485.77,1999.09
OTB_BACT_6-11-25,St3_1,R3,BL1 - BL1-H,SSC - SSC-H,104740,50,2094.800,36742,923,31575.17,980.82
OTB_BACT_6-11-25,St3_1,R1,BL1 - BL1-H,SSC - SSC-H,148233,50,2964.660,28825,1382,32908.13,1999.09
OTB_BACT_6-11-25,St3_1,R3,FSC - FSC-H,SSC - SSC-H,104740,50,2094.800,2303,923,1744.08,980.82
OTB_BACT_6-11-25,St3_2,All Events,BL1 - BL1-H,N/A,141128,50,2822.560,28914,N/A,31868.36,N/A
OTB_BACT_6-11-25,St3_2,R2,BL1 - BL1-H,N/A,124519,50,2490.380,30980,N/A,24408.96,N/A
OTB_BACT_6-11-25,St3_2,R1,BL1 - BL1-H,N/A,141128,50,2822.560,28914,N/A,31868.36,N/A
OTB_BACT_6-11-25,St3_2,R1,FSC - FSC-H,SSC - SSC-H,141128,50,2822.560,2534,1336,2444.62,1971.83
OTB_BACT_6-11-25,St3_2,R3,BL1 - BL1-H,SSC - SSC-H,97838,50,1956.760,37746,903,31572.74,982.65
OTB_BACT_6-11-25,St3_2,R1,BL1 - BL1-H,SSC - SSC-H,141128,50,2822.560,28914,1336,31868.36,1971.83
OTB_BACT_6-11-25,St3_2,R3,FSC - FSC-H,SSC - SSC-H,97838,50,1956.760,2260,903,1694.94,982.65
OTB_BACT_6-11-25,St3_3,All Events,BL1 - BL1-H,N/A,145044,50,2900.880,29204,N/A,33296.75,N/A
OTB_BACT_6-11-25,St3_3,R2,BL1 - BL1-H,N/A,131047,50,2620.940,30520,N/A,24292.54,N/A
OTB_BACT_6-11-25,St3_3,R1,BL1 - BL1-H,N/A,145044,50,2900.880,29204,N/A,33296.75,N/A
OTB_BACT_6-11-25,St3_3,R1,FSC - FSC-H,SSC - SSC-H,145044,50,2900.880,2552,1380,2437.83,1989.28
OTB_BACT_6-11-25,St3_3,R3,BL1 - BL1-H,SSC - SSC-H,104766,50,2095.320,36516,930,31772.96,999.05
OTB_BACT_6-11-25,St3_3,R1,BL1 - BL1-H,SSC - SSC-H,145044,50,2900.880,29204,1380,33296.75,1989.28
OTB_BACT_6-11-25,St3_3,R3,FSC - FSC-H,SSC - SSC-H,104766,50,2095.320,2271,930,1733.38,999.05
OTB_BACT_6-11-25,St4_1,All Events,BL1 - BL1-H,N/A,116738,50,2334.760,29831,N/A,29947.48,N/A
OTB_BACT_6-11-25,St4_1,R2,BL1 - BL1-H,N/A,108536,50,2170.720,30656,N/A,22452.10,N/A
OTB_BACT_6-11-25,St4_1,R1,BL1 - BL1-H,N/A,116738,50,2334.760,29831,N/A,29947.48,N/A
OTB_BACT_6-11-25,St4_1,R1,FSC - FSC-H,SSC - SSC-H,116738,50,2334.760,2481,1056,2445.08,1516.25
OTB_BACT_6-11-25,St4_1,R3,BL1 - BL1-H,SSC - SSC-H,89021,50,1780.420,35889,833,27915.02,883.88
OTB_BACT_6-11-25,St4_1,R1,BL1 - BL1-H,SSC - SSC-H,116738,50,2334.760,29831,1056,29947.48,1516.25
OTB_BACT_6-11-25,St4_1,R3,FSC - FSC-H,SSC - SSC-H,89021,50,1780.420,2264,833,1663.93,883.88
OTB_BACT_6-11-25,St4__3,All Events,BL1 - BL1-H,N/A,113359,50,2267.180,29782,N/A,29218.99,N/A
OTB_BACT_6-11-25,St4__3,R2,BL1 - BL1-H,N/A,105398,50,2107.960,30714,N/A,22577.09,N/A
OTB_BACT_6-11-25,St4__3,R1,BL1 - BL1-H,N/A,113359,50,2267.180,29782,N/A,29218.99,N/A
OTB_BACT_6-11-25,St4__3,R1,FSC - FSC-H,SSC - SSC-H,113359,50,2267.180,2404,1039,2364.57,1511.82
OTB_BACT_6-11-25,St4__3,R3,BL1 - BL1-H,SSC - SSC-H,86401,50,1728.020,35921,816,28027.94,856.43
OTB_BACT_6-11-25,St4__3,R1,BL1 - BL1-H,SSC - SSC-H,113359,50,2267.180,29782,1039,29218.99,1511.82
OTB_BACT_6-11-25,St4__3,R3,FSC - FSC-H,SSC - SSC-H,86401,50,1728.020,2192,816,1543.39,856.43
OTB_BACT_6-11-25,St5__1,All Events,BL1 - BL1-H,N/A,125085,50,2501.700,28852,N/A,34898.72,N/A
OTB_BACT_6-11-25,St5__1,R2,BL1 - BL1-H,N/A,112154,50,2243.080,30032,N/A,24645.83,N/A
