Plate,Sample,Gate,X Parameter,Y Parameter,Count,Volume,Concentration,X Mean,Y Mean,X SD,Y SD
2025-05-23_OTB,Blank,All Events,BL1 - BL1-H,N/A,928,50,18.560,93775,N/A,95649.32,N/A
2025-05-23_OTB,Blank,R2,BL1 - BL1-H,N/A,630,50,12.600,95240,N/A,76188.19,N/A
2025-05-23_OTB,Blank,R1,BL1 - BL1-H,N/A,928,50,18.560,93775,N/A,95649.32,N/A
2025-05-23_OTB,Blank,R1,FSC - FSC-H,SSC - SSC-H,928,50,18.560,4958,5483,4070.01,3850.93
2025-05-23_OTB,Blank,R3,BL1 - BL1-H,SSC - SSC-H,413,50,8.260,147331,6537,68420.74,2926.97
2025-05-23_OTB,Blank,R1,BL1 - BL1-H,SSC - SSC-H,928,50,18.560,93775,5483,95649.32,3850.93
2025-05-23_OTB,Blank,R3,FSC - FSC-H,SSC - SSC-H,413,50,8.260,6395,6537,3532.50,2926.97
2025-05-23_OTB,St1_1,All Events,BL1 - BL1-H,N/A,256049,50,5120.980,27485,N/A,33337.37,N/A
2025-05-23_OTB,St1_1,R2,BL1 - BL1-H,N/A,212542,50,4250.840,30803,N/A,25995.81,N/A
2025-05-23_OTB,St1_1,R1,BL1 - BL1-H,N/A,256049,50,5120.980,27485,N/A,33337.37,N/A
2025-05-23_OTB,St1_1,R1,FSC - FSC-H,SSC - SSC-H,256049,50,5120.980,2713,1283,2307.24,2067.38
2025-05-23_OTB,St1_1,R3,BL1 - BL1-H,SSC - SSC-H,169673,50,3393.460,37581,745,34202.69,855.59
2025-05-23_OTB,St1_1,R1,BL1 - BL1-H,SSC - SSC-H,256049,50,5120.980,27485,1283,33337.37,2067.38
2025-05-23_OTB,St1_1,R3,FSC - FSC-H,SSC - SSC-H,169673,50,3393.460,2498,745,1841.74,855.59
2025-05-23_OTB,St1_2,All Events,BL1 - BL1-H,N/A,277649,50,5552.980,27025,N/A,33370.68,N/A
2025-05-23_OTB,St1_2,R2,BL1 - BL1-H,N/A,232100,50,4642.000,30031,N/A,25824.16,N/A
2025-05-23_OTB,St1_2,R1,BL1 - BL1-H,N/A,277649,50,5552.980,27025,N/A,33370.68,N/A
2025-05-23_OTB,St1_2,R1,FSC - FSC-H,SSC - SSC-H,277649,50,5552.980,2852,1226,2371.50,1972.48
2025-05-23_OTB,St1_2,R3,BL1 - BL1-H,SSC - SSC-H,182377,50,3647.540,37089,793,34061.78,887.73
2025-05-23_OTB,St1_2,R1,BL1 - BL1-H,SSC - SSC-H,277649,50,5552.980,27025,1226,33370.68,1972.48
2025-05-23_OTB,St1_2,R3,FSC - FSC-H,SSC - SSC-H,182377,50,3647.540,2686,793,2006.16,887.73
2025-05-23_OTB,St1_3,All Events,BL1 - BL1-H,N/A,262958,50,5259.160,27355,N/A,34014.96,N/A
2025-05-23_OTB,St1_3,R2,BL1 - BL1-H,N/A,216886,50,4337.720,30662,N/A,25989.16,N/A
2025-05-23_OTB,St1_3,R1,BL1 - BL1-H,N/A,262958,50,5259.160,27355,N/A,34014.96,N/A
2025-05-23_OTB,St1_3,R1,FSC - FSC-H,SSC - SSC-H,262958,50,5259.160,2830,1262,2385.66,2024.06
2025-05-23_OTB,St1_3,R3,BL1 - BL1-H,SSC - SSC-H,172947,50,3458.940,37669,773,35058.06,878.57
2025-05-23_OTB,St1_3,R1,BL1 - BL1-H,SSC - SSC-H,262958,50,5259.160,27355,1262,34014.96,2024.06
2025-05-23_OTB,St1_3,R3,FSC - FSC-H,SSC - SSC-H,172947,50,3458.940,2646,773,1997.58,878.57
2025-05-23_OTB,St2_1,All Events,BL1 - BL1-H,N/A,132231,50,2644.620,30505,N/A,36529.01,N/A
2025-05-23_OTB,St2_1,R2,BL1 - BL1-H,N/A,111441,50,2228.820,33379,N/A,27695.97,N/A
2025-05-23_OTB,St2_1,R1,BL1 - BL1-H,N/A,132231,50,2644.620,30505,N/A,36529.01,N/A
2025-05-23_OTB,St2_1,R1,FSC - FSC-H,SSC - SSC-H,132231,50,2644.620,2823,1379,2532.87,2064.51
2025-05-23_OTB,St2_1,R3,BL1 - BL1-H,SSC - SSC-H,88070,50,1761.400,41747,867,37281.98,932.17
2025-05-23_OTB,St2_1,R1,BL1 - BL1-H,SSC - SSC-H,132231,50,2644.620,30505,1379,36529.01,2064.51
2025-05-23_OTB,St2_1,R3,FSC - FSC-H,SSC - SSC-H,88070,50,1761.400,2581,867,1911.60,932.17
2025-05-23_OTB,St2_2,All Events,BL1 - BL1-H,N/A,136903,50,2738.060,30248,N/A,35451.68,N/A
2025-05-23_OTB,St2_2,R2,BL1 - BL1-H,N/A,116946,50,2338.920,32942,N/A,27233.89,N/A
2025-05-23_OTB,St2_2,R1,BL1 - BL1-H,N/A,136903,50,2738.060,30248,N/A,35451.68,N/A
2025-05-23_OTB,St2_2,R1,FSC - FSC-H,SSC - SSC-H,136903,50,2738.060,2806,1410,2575.42,2078.18
2025-05-23_OTB,St2_2,R3,BL1 - BL1-H,SSC - SSC-H,91359,50,1827.180,41144,893,35899.13,974.38
2025-05-23_OTB,St2_2,R1,BL1 - BL1-H,SSC - SSC-H,136903,50,2738.060,30248,1410,35451.68,2078.18
2025-05-23_OTB,St2_2,R3,FSC - FSC-H,SSC - SSC-H,91359,50,1827.180,2551,893,1940.85,974.38
2025-05-23_OTB,St2_3,All Events,BL1 - BL1-H,N/A,131570,50,2631.400,30733,N/A,36315.09,N/A
2025-05-23_OTB,St2_3,R2,BL1 - BL1-H,N/A,111581,50,2231.620,33380,N/A,27419.80,N/A
2025-05-23_OTB,St2_3,R1,BL1 - BL1-H,N/A,131570,50,2631.400,30733,N/A,36315.09,N/A
2025-05-23_OTB,St2_3,R1,FSC - FSC-H,SSC - SSC-H,131570,50,2631.400,2753,1380,2494.63,2069.56
2025-05-23_OTB,St2_3,R3,BL1 - BL1-H,SSC - SSC-H,88021,50,1760.420,41964,868,37412.80,937.71
2025-05-23_OTB,St2_3,R1,BL1 - BL1-H,SSC - SSC-H,131570,50,2631.400,30733,1380,36315.09,2069.56
2025-05-23_OTB,St2_3,R3,FSC - FSC-H,SSC - SSC-H,88021,50,1760.420,2498,868,1813.55,937.71
2025-05-23_OTB,St3_1,All Events,BL1 - BL1-H,N/A,165179,50,3303.580,30548,N/A,35456.17,N/A
2025-05-23_OTB,St3_1,R2,BL1 - BL1-H,N/A,136778,50,2735.560,34364,N/A,28170.36,N/A
2025-05-23_OTB,St3_1,R1,BL1 - BL1-H,N/A,165179,50,3303.580,30548,N/A,35456.17,N/A
2025-05-23_OTB,St3_1,R1,FSC - FSC-H,SSC - SSC-H,165179,50,3303.580,2933,1440,2735.47,2135.88
2025-05-23_OTB,St3_1,R3,BL1 - BL1-H,SSC - SSC-H,104546,50,2090.920,43619,885,36445.04,1032.51
2025-05-23_OTB,St3_1,R1,BL1 - BL1-H,SSC - SSC-H,165179,50,3303.580,30548,1440,35456.17,2135.88
2025-05-23_OTB,St3_1,R3,FSC - FSC-H,SSC - SSC-H,104546,50,2090.920,2610,885,1916.92,1032.51
2025-05-23_OTB,St3_2,All Events,BL1 - BL1-H,N/A,158662,50,3173.240,31310,N/A,35346.01,N/A
